Month,Sort,Year,Page Views,Page Visits
July,7,2011,"45,025,420",11512263
August,8,2011,"48,751,296",11516529
September,9,2011,"57,406,433",13931419
October,10,2011,"62,420,968",12518273
November,11,2011,"73,937,310",15109922
December,12,2011,"71,713,502",11439450
January,1,2012,"87,815,865",9865709
February,2,2012,"64,667,049",11052009
March,3,2012,"61,073,099",13147340
April,4,2012,"60,010,264",14715354
May,5,2012,"58,505,636",13439987
June,6,2012,"52,529,229",10854097
July,7,2012,"52,039,332",13072766
August,8,2012,"57,080,018",13647038
September,9,2012,"60,842,404",15004515
October,10,2012,"74,951,609",14898752
November,11,2012,"62,788,378",15261322
December,12,2012,"53,919,433",13021159
January,1,2013,"76,553,256",12778037
February,2,2013,"63,103,075",15416808
March,3,2013,"67,808,429",16341618
April,4,2013,"69,582,514",19896762
May,5,2013,"62,206,641",16611651
June,6,2013,"60,623,487",14654741
July,7,2013,"60,502,032",22356508
August,8,2013,"60,934,848",17731008
September,9,2013,"75,769,735",19365408
October,10,2013,"80,138,671",21399907
November,11,2013,"75,244,044",20488049
December,12,2013,"63,527,980",19718807
January,1,2014,"80,559,009",19055049
February,2,2014,"77,595,355",18620541
March,3,2014,"84,225,073",20983540
April,4,2014,"83,951,491",24100650
May,5,2014,"81,601,834",
June,6,2014,"73,107,873",
July,7,2014,"76,814,806",
August,8,2014,"84,578,136",
September,9,2014,"95,570,138",
October,10,2014,"143,925,415",
November,11,2014,"88,408,415",
December,12,2014,"77,040,666",
January,1,2015,"84,910,793",
February,2,2015,"84,709,063",
March,3,2015,"85,489,321",
April,4,2015,"83,052,580",
May,5,2015,"72,511,474",
June,6,2015,"73,797,639",
July,7,2015,"76,147,057",
August,8,2015,"79,696,254",
September,9,2015,"87,652,029",
October,10,2015,"87,652,029",
November,11,2015,"93,966,584",
December,12,2015,"84,267,847",
January,1,2016,"109,453,661",
February,2,2016,"122,943,253",40280306
March,3,2016,"112,285,513",36412169
April,4,2016,"120,380,510",33365044
May,5,2016,"114,678,570",32832268
June,6,2016,"105,102,248",30698060
July,7,2016,"97,128,611",29211754
August,8,2016,"109,791,194",33130748
September,9,2016,"103,315,923",32652643
October,10,2016,"100,698,261",32167111
November,11,2016,"86,941,536",30227710
December,12,2016,"67,484,306",27447284
January,1,2017,"78,551,952",36690619
February,2,2017,"76,666,751",35222601
March,3,2017,"82,576,635",30162048
April,4,2017,"71,650,769",25504003
May,5,2017,"69,614,471",26125456
June,6,2017,"66,183,568",23225056
July,7,2017,"65,108,230",22217679
August,8,2017,"66,530,831",23484194
September,9,2017,"70,907,131",26287510
October,10,2017,"78,774,412",30423066
November,11,2017,"74,962,237",29138341
December,12,2017,"63,277,568",24391767
January,1,2018,"82,831,947",31803231
February,2,2018,"74,271,998",28343343
March,3,2018,"73,858,019",26481350
April,4,2018,"75,436,005",26887971
May,5,2018,"64,251,978",26319394
June,6,2018,"52,770,008",22433883
July,7,2018,"63,791,236",22714464
August,8,2018,"76,608,854",24681990
September,9,2018,"78,959,308",25728504
October,10,2018,"93,544,158",30140161
November,11,2018,"91,474,779",30713666
December,12,2018,"71,598,145",25184670
January,1,2019,"87,535,934",30690660
February,2,2019,"86,913,634",30799585
March,3,2019,"99,595,793",35005321
April,4,2019,"104,579,921",36258918
May,5,2019,"96,984,149",35149882
June,6,2019,"88,435,925",30126184
July,7,2019,"90,107,521",30140249
August,8,2019,"93,671,807",30149216
September,9,2019,"101,691,816",34312813
October,10,2019,"111,292,015",36820099
November,11,2019,"110,680,462",34535417
December,12,2019,"95,389,650",29837832
January,1,2020,"160,606,804",55760470
February,2,2020,"259,304,581",92844648
March,3,2020,"1,075,594,920",464305872
